SKU_NAME,Total Revenue,Units Ordered,Average Revenue per unit
B00;3H5XG9,₹0.00,0,
B00[09IWHS,₹0.00,0,
B004FMWNKW,₹0.00,0,
B004WQ8HS6,₹0.00,0,
B007LUCJZW,₹0.00,0,
B00DHPE[3Z,₹0.00,0,
B00N67CJYG,₹0.00,0,
B012GU7SOL,₹0.00,0,
B012JWTJDC,₹0.00,0,
B013WPQZ2U,₹0.00,0,
B01DQ37D1Q,₹0.00,0,
B01F[:YLFY,₹0.00,0,
B01L[2OSVM,₹0.00,0,
B01R0I8KFH,₹0.00,0,
B01Z6OTS68,₹0.00,0,
B02:6D686Y,₹0.00,0,
B023PT;UK5,₹0.00,0,
B029QK5QO4,₹0.00,0,
B02N9X5ECS,₹0.00,0,
B03P6YDC55,₹0.00,0,
B079R8STHR,₹0.00,0,
B07EEFWITR,₹0.00,0,
B07XI2QS2Z,₹0.00,0,
B07XV4H9V4,₹0.00,0,
B08:;5YP75,₹0.00,0,
B082S99N[C,₹0.00,0,
B089K3VH9O,₹0.00,0,
B08MD1RCIY,₹0.00,0,
B08OY;\T[I,₹0.00,0,
B08Q3EJP86,₹0.00,0,
B08Y472N[U,₹0.00,0,
B08YU3BS5R,₹0.00,0,
B094DY1H:5,₹0.00,0,
B094KTD6IW,₹0.00,0,
B10:1TJG86,₹0.00,0,
B10DS5RZI6,₹0.00,0,
B10ECKLLFI,₹0.00,0,
B10V[S5YSO,₹0.00,0,
B11:4F6680,₹0.00,0,
B115ICA8LF,₹0.00,0,
B116DUQLEB,₹0.00,0,
B11CDKYM3J,₹0.00,0,
B11M6LR75G,₹0.00,0,
B121O714Y2,₹0.00,0,
B125:PNERK,₹0.00,0,
B1255YTFGA,₹0.00,0,
B128RO:5YU,₹0.00,0,
B12DEKMLLG,₹0.00,0,
B12JQON1JG,₹0.00,0,
B12MWAOCYI,₹0.00,0,
B12NULIHEQ,₹0.00,0,
B13LVANCV4,₹0.00,0,
B13M0T8ZQM,₹0.00,0,
B16Y1745NB,₹0.00,0,
B172T8N:V9,₹0.00,0,
B178:R5R5L,₹0.00,0,
B17FE8ZGLY,₹0.00,0,
B1826\GXMM,₹0.00,0,
B186S:OSH:,₹0.00,0,
B1878K26WG,₹0.00,0,
B1882T8K9Q,₹0.00,0,
B1883ON3Z4,₹0.00,0,
B18ZIYLVU8,₹0.00,0,
B19FINX3;3,₹0.00,0,
B19J8R7P1C,₹0.00,0,
B203VBOO9C,₹0.00,0,
B205J5RPJQ,₹0.00,0,
B207GW2HRZ,₹0.00,0,
B209T2DTGU,₹0.00,0,
B20EKD5JF4,₹0.00,0,
B213K5FIPU,₹0.00,0,
B214M:0:PC,₹0.00,0,
B216U2FWEK,₹0.00,0,
B21B6UON52,₹0.00,0,
B21DCDJM84,₹0.00,0,
B21E\9ZKDH,₹0.00,0,
B21LO8TNNY,₹0.00,0,
B21LXRODI1,₹0.00,0,
B21PQ3RNQO,₹0.00,0,
B225I326ET,₹0.00,0,
B22D5SOO;2,₹0.00,0,
B22OVTXOIY,₹0.00,0,
B22OZ6\O1[,₹0.00,0,
B23N8NDT5Q,₹0.00,0,
B27:;86W4V,₹0.00,0,
B273S9R9[B,₹0.00,0,
B2764UT3G7,₹0.00,0,
B2836[GWYV,₹0.00,0,
B286Q8QSM:,₹0.00,0,
